,Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES
237,Become a Marketing Analyst,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,"Gain foundational data skills applicable to marketing. Collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studio. ",,,,,," Filtering in Google Analytics, Google Analytics Metrics, Google Analytics Dashboards, Google Analytics Attribution Reports, Basic Spreadsheet Use, Forecast Modeling in Spreadsheets, Spreadsheet Functions, Pivot Tables, UTM Codes, Marketing Metrics, Market Segmentation, Conversion Rate, Quantitative Data Visualization, Data Visualization Design, Data Storytelling, Basic Descriptive Statistics, Inferential Statistics, Google Data Studio, Tableau Visualizations",,4.6,,4 months to complete,Udacity,Nanodegree Program,Introduction to Marketing Analytics ,,361 viewers,,No prerequisites.,"In this program, you’ll learn foundational data skills, gain an in-depth understanding of Google Analytics and marketing analytics. You’ll learn to analyze data and build models with Excel, Data Studio, and create informative data visualizations with Tableau.","Data Visualization,Business Analytics,",$399 ,,,"$1,017 ",,,Business,,,,,,,,,,,,,,,
238,Intro to Machine Learning with PyTorch,https://www.udacity.com/course/intro-to-machine-learning-nanodegree--nd229,Learn foundational machine learning techniques -- from data manipulation to unsupervised and supervised algorithms.,,,,,," Independent Component Analysis, Gaussian Mixture Models, Principal Component Analysis, Dimensionality Reduction, Naive Bayes Classifiers, Support Vector Machines, Perceptron, Model Evaluation, Hyperparameter Tuning, Decision trees, Training Neural Networks, Deep Learning Fluency, Backpropagation, scikit-learn, Pytorch, Convolutional Kernels, Spam Detection",,4.7,,3 months to complete,Udacity,Nanodegree Program,Intro to Machine Learning with PyTorch,,448 viewers,,"To optimize your chances of success in this program, we recommend intermediate Python programming knowledge and basic knowledge of probability and statistics.","Learn foundational machine learning algorithms, starting with data cleaning and supervised models. Then, move on to exploring deep and unsupervised learning. At each step, get practical experience by applying your skills to code exercises and projects.
This program is intended for students with experience in Python, who have not yet studied Machine Learning topics. ","Intro to Machine Learning with TensorFlow,Data Structures and Algorithms,",$399 ,,,"$1,017 ",,,Artificial Intelligence,,,,,,,,,,,,,,,
239,Predictive Analytics for Business,https://www.udacity.com/course/predictive-analytics-for-business-nanodegree--nd008t,Learn to apply predictive analytics and business intelligence to solve real-world business problems,,,,,," Univariate Time-Series Analysis, Analytic Frameworks, Data Cleaning, CRISP-DM, ETL, Types of Data, Linear Regression, k-means Clustering, Cluster Validation, ARIMA, A/B Testing, Interpreting Test Results, Experiment control, Tableau Visualizations",,4.7,,3 months to complete,Udacity,Nanodegree Program,Predictive Analytics for Business,,555 viewers,,"Students who enroll should be familiar with algebra and descriptive statistics and have experience working with data in Excel. Working knowledge of SQL and Tableau is a plus, but not required.",Learn to apply predictive analytics and business intelligence to solve real-world business problems.,"Business Analytics,SQL,",$399 ,,,"$1,017 ",,,Data Science,,,,,,,,,,,,,,,
240,Intro to Machine Learning with TensorFlow,https://www.udacity.com/course/intro-to-machine-learning-with-tensorflow-nanodegree--nd230,Learn foundational machine learning techniques - from data manipulation to unsupervised and supervised algorithms.,,,,,," Independent Component Analysis, Gaussian Mixture Models, Principal Component Analysis, Dimensionality Reduction, Naive Bayes Classifiers, Support Vector Machines, Perceptron, Model Evaluation, Hyperparameter Tuning, Decision trees, Training Neural Networks, Deep Learning Fluency, Backpropagation, scikit-learn, Pytorch, Convolutional Kernels, Spam Detection",,4.7,,3 months to complete,Udacity,Nanodegree Program,Intro to Machine Learning with TensorFlow,,529 viewers,,"To optimize your chances of success in this program, we recommend intermediate Python programming knowledge and basic knowledge of probability and statistics.","Learn foundational machine learning algorithms, starting with data cleaning and supervised models. Then, move on to exploring deep and unsupervised learning. At each step, get practical experience by applying your skills to code exercises and projects.
This program is intended for students with experience in Python, who have not yet studied Machine Learning topics. ","Data Structures and Algorithms,Intel® Edge AI for IoT Developers,",$399 ,,,"$1,017 ",,,Artificial Intelligence,,,,,,,,,,,,,,,
241,Full Stack JavaScript Developer,https://www.udacity.com/course/full-stack-javascript-developer-nanodegree--nd0067,Meet the growing demand for full stack developers and learn to build rich web experiences using a modern architecture and technology stack.,,,,,," API Development, REST APIs, API Testing, API Requests, Scripting, Coding Best Practices, Express Web Framework, Web Forms, HTML, Deployment Automation, DevOps Documentation, CI/CD, Automation Testing, Unit Testing, Test Environments, Test-Driven Development, Hashing, NodeJS, JavaScript Package Management, Jasmine, Asynchronous JavaScript, AngularJS, Angular Components, Angular CLI, Node-Postgres, TypeScript Typing, TypeScript Syntax, SQL Queries, SQL JOINs, AWS Elastic Beanstalk, Amazon S3, PostgreSQL, Database Fundamentals, Data Definition, Data Schemas, JWTs",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Full Stack JavaScript Developer,,,,"HTML, CSS, Basic JavaScript and JSON","You’ll master the skills necessary to become a successful full stack developer. Learn how to build UI and UX, create APIs and server side business logic and develop the persistence layer to store, process and retrieve data.","Front End Web Developer,Full Stack Web Developer,",$399 ,,"$1,356 ",,,,Programming & Development,,,,,,,,,,,,,,,
242,Digital Freelancer,https://www.udacity.com/course/digital-freelancer-nanodegree--nd083,Meet the growing demand for digital freelancers by building your personal brand and starting a successful online business.,,,,,," Social Media Presence, Portfolio Websites, Freelancing Platforms, Stakeholder Management, Elevator Pitches, Invoicing, Freelance Pricing Frameworks, Project Scoping, Trello Software, Brand Design, Service Agreements, NDAs",,,,Estimated 1 month to complete,Udacity,Nanodegree Program,Digital Freelancer,,,,Basic computer skills.,"You’ll master the skills necessary to become a successful digital freelancer. Learn how to market your services to clients, scope projects and manage client relationships.","Digital Marketing,UX Designer,",$399 ,,,,,,Programming & Development,,,,,,,,,,,,,,,
243,Ethical Hacker,https://www.udacity.com/course/ethical-hacker-nanodegree--nd350,Meet the growing demand for cybersecurity professionals by gaining the offensive security skills to protect an organization’s computer networks and systems.,,,,,," Digital Footprint Removal, Phishing, Cybersecurity Reconnaissance, Web Hacking, SQL Injection, Cybersecurity Pivoting, Vulnerability Scanning, Vulnerability Management, Vulnerability Assessment, CVSS, Metasploit, WPscan, OSINT Tools, Nmap, Burp Suite, CherryTree, Link Analysis, Exploratory Data Analysis",,,,Estimated 2 months to complete,Udacity,Nanodegree Program,Ethical Hacker,,,,"Linux, Networking, Programming and Windows OS.","You’ll master the skills necessary to become a successful Ethical Hacker. Learn how to find and exploit vulnerabilities and weaknesses in various systems, design and execute a penetration testing plan, and report on test findings using valid evidence.","Introduction to Cybersecurity,Security Analyst,",$399 ,,,,,$678 ,Cybersecurity,,,,,,,,,,,,,,,
244,Security Architect,https://www.udacity.com/course/security-architect-nanodegree--nd992,Meet the growing demand for security architects and learn the skills required to advance your cybersecurity career.,,,,,," Access Control Matrices, Architecture Diagramming, Cybersecurity Incident Response Playbooks, Network Security Fundamentals, Cybersecurity Business Context, Cybersecurity Risk Management, Threat Modeling, Threat Profiling, DiD Framework, Zachman Framework, TOGAF Framework, Cloud Security in AWS, AWS Config",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Security Architect,,,,Linux and AWS.,You’ll master the skills necessary to become a successful security architect. Learn core strategies and implementation elements of security infrastructure design and management at an enterprise level.,"Introduction to Cybersecurity,Security Engineer,",$399 ,,"$1,356 ",,,,Cybersecurity,,,,,,,,,,,,,,,
245,Site Reliability Engineer,https://www.udacity.com/course/site-reliability-engineer-nanodegree--nd087,Master the job-ready skills you need to be a successful site reliability engineer and start designing systems to automate responses to software site issues.,,,,,," Toil Reduction, Site Reliability Engineering Business Context, Service Level Objectives, Cloud availability, Prometheus, Terraform, Data Recovery, Data Replication, Deployment Automation, Disaster Recovery plans, Grafana",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Site Reliability Engineer,,,,"Python or Java, Bash or Powershell, Linux, UNIX Shell and SQL.","Master the skills necessary to become a successful site reliability engineer. Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.","Full Stack Web Developer,Cloud Developer,",$399 ,,"$1,356 ",,,,Cloud Computing,,,,,,,,,,,,,,,
246,Become a Machine Learning Engineer for Microsoft Azure,https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning.",,,,,," Azure ML User Management, Azure ML Pipelines, Azure ML SDK, Azure ML Platform,Azure Data Services, Model Deployment with Azure, Kubernetes, Docker, Model Interpretation, Model Evaluation, Hyperparameter Tuning, REST APIs, Cloud Asset Management, Kubernetes Security",,,,3 months to complete,Udacity,Nanodegree Program,Machine Learning Engineer for Microsoft Azure,,,,"Prior experience with Python, Machine Learning, and Statistics","In this program, students will enhance their skills by building and deploying sophisticated machine learning solutions using popular open source tools and frameworks, and gain practical experience running complex machine learning tasks using the built-in Azure labs accessible inside the Udacity classroom.","AI Programming with Python,Intro to Machine Learning with PyTorch,",$399 ,,,"$1,017 ",,,Artificial Intelligence,,,,,,,,,,,,,,,
247,Data Science for Business Leaders,https://www.udacity.com/course/data-science-for-business-leaders--nd045,"Master the strategic decision-making skills for the people, platforms, and processes required to leverage the power of Data Science in your business.",,,,,," Data Science Strategy, Data Science Roadmaps, Building Data Science Teams, Data Science Business Context, Data Science Use Cases, Project Risk Mitigation, Project Evaluation, Data and Data Architecture Strategy, Product Management Basics, Structured Problem Solving Method",,,,4 - 8 Weeks to complete,Udacity,Executive Program,Data Science for Business Leaders,,,,"To optimize your chances of success in this Executive Program, we recommend prior exposure to statistics and probability, as well as experience in business decision-making in an IT or technical environment.","This course provides business leaders and managers with strategies and guidelines for how best to solve the human capital, technological, and management challenges of building data science into the business. Students will gain skills in identifying opportunities for data science across many functional areas of the business, as well as learn the tools to prioritize and execute on those opportunities as part of a data science initiative.","Agile Software Development,Data Product Manager,",,,,,,$678 ,Data Science,,,,,,,,,,,,,,,
248,Become a Cloud Developer using Microsoft Azure,https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081,"Learn to build cloud-based applications on Microsoft Azure, the cloud services platform used by 95% of Fortune 500 companies.",,,,,," Cloud Security in Azure, Azure App Service, SQL Databases in Azure, Azure Monitor, Azure functions, Azure Resource Groups, Azure Logic Apps, Azure Event Grid, Azure Compute Service, Azure Blob Storage, Azure Automation, Cloud Migration, Microservices Architecture Basics, Microservices Architecture Design, Cloud Observability, Cloud Availability, Cloud Cost Management, Cloud Resource Allocation",,,,4 months to complete,Udacity,Nanodegree Program,Cloud Developer using Microsoft Azure,,,,"Intermediate programming experience, familiarity with SQL databases and version control with Git.","Microsoft Azure is one of the most popular cloud services platforms used by enterprises, making it a crucial tool for cloud computing professionals to add to their skillset. The Cloud Developer using Microsoft Azure Nanodegree program teaches students how to deploy, build, migrate, and monitor applications on Azure, thereby preparing learners for success on Microsoft’s AZ-204 Azure Developer Associate Expert certification.","Java Developer,Machine Learning Engineer for Microsoft Azure,",$399 ,,"$1,356 ",,,,Cloud Computing,,,,,,,,,,,,,,,
249,Golang,https://www.udacity.com/course/golang--cd11970,"Learn Go language fundamentals needed for careers involving cloud services, web applications, DevOps tools, and backend development.",,,,,," Go Loops, Goroutines, Go Variables, Go Structs, Go Slices, Go Range, Go Interfaces, Go Functions, Go Conditionals, Go Arrays",,,,Estimated 1 month to complete,Udacity,Course,Golang,,,,Basic computer programming.,"This Go programming language online course provides learners with the job-ready digital skills they need to build simple, reliable, and efficient software.","Full Stack Web Developer,Intro to Programming,",$399 ,,,,,,Programming & Development,,,,,,,,,,,,,,,
250,Cloud DevOps using Microsoft Azure,https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082,"Learn to develop and deploy cloud-based applications on Microsoft Azure, the cloud services platform used by 95% of Fortune 500 companies.",,,,,," Software Performance Testing, Functional Testing, Test Environments, Integration Testing, Test Automation, Infrastructure as Code, Azure Monitor, Azure Log Analytics, Network Security with Azure, Logging, GitOps, CI/CD, Continuous Deployment, Selenium, Apache JMeter, Terraform, Packer, Cloud Observability",,,,3 months to complete,Udacity,Nanodegree Program,Cloud DevOps using Microsoft Azure,,,,"Intermediate Python, familiarity with Linux shell scripting and cloud concepts.","Microsoft Azure is one of the most popular cloud services platforms used by enterprises, making it a crucial tool for cloud computing professionals to add to their skillset. The Cloud DevOps using Microsoft Azure Nanodegree program teaches students how to deploy, test, and monitor cloud applications on Azure, thereby preparing learners for success on Microsoft’s AZ-400 DevOps Engineer Expert certification exam.","Agile Software Development,Intermediate JavaScript,",$399 ,,,"$1,017 ",,,Cloud Computing,,,,,,,,,,,,,,,
251,Flying Car and Autonomous Flight Engineer,https://www.udacity.com/course/flying-car-nanodegree--nd787,Master autonomous flight software engineering skills as you build your career in flying cars and drone robotics.,,,,,," 3D Robot Motion control, PID Controller, Object State Estimation, 2D Robot Motion control, 1D Robot Motion Control, Dead Reckoning, Sensor Fusion, Drone Flight Control, Automated Path Planning, Feature Tracking, Quadrotor Dynamics, Model Performance Metrics, Basic Probability, Statistical Sampling, Graph Theory, Least Squares, Quadrotor Hardware Components, Accelerometers, Quadrotor Control Systems, Gyroscopes, Control Systems, Sensor Calibration, GPS, Sensors, Extended Kalman Filters, Kalman Filters, Unscented Kalman Filters, Particle Filters, Mathematical Optimization",,4.6,,Estimated 4 Months to complete,Udacity,Nanodegree Program,Flying Car Curriculum,,254 viewers,,Here is a list of prerequisites and recommendations to help prepare you for the program curriculum.,"You’ll learn the core concepts required to design and develop robots that fly. You’ll work with the quadrotor test platform and our custom flight simulator to implement planning, control, and estimation solutions.","Self-Driving Car Engineer,Sensor Fusion Engineer,",$399 ,,"$1,356 ",,,,Autonomous Systems,,,,,,,,,,,,,,,
252,Security Engineer,https://www.udacity.com/course/security-engineer-nanodegree--nd698,Gain the highly sought-after skills to protect an organization’s computer networks and systems from security threats or attacks.,,,,,," Vulnerability Assessment, Vulnerability Scanning, Vulnerability Patching, Security Auditing, Access Management, Multi-Factor Authentication, Mandatory Access Control, Firewall Configuration, Network Access Control Lists, OWASP Top-10, Vulnerability Exploitation, Application Security Best Practices, Static Application Security Testing, Data Encryption, Logging, Hashing",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Security Engineer,,,,"Basics of Python, experience configuring Windows and Linux environments.","You’ll master the foundational skills necessary to become a successful Security Engineer. This program will focus on how to protect a company’s computer systems, networks, applications and infrastructure from security threats or attacks.","Introduction to Cybersecurity,Security Analyst,",$399 ,,"$1,356 ",,,,Programming & Development,,,,,,,,,,,,,,,
253,Data Visualization,https://www.udacity.com/course/data-visualization-nanodegree--nd197,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",,,,,," Data Storytelling, Data Visualization Design, Animated Data Visualizations, Chart Types, Data Limitations and Biases, Tableau Storypoint, Tableau Interactive Dashboards, Tableau Visualizations, Tableau Data Pane, Flourish, Business KPIs, Issue Trees",,4.6,,Estimated 4 Months,Udacity,Nanodegree Program,Data Visualization,,207 viewers,,"To be successful in this program, you should have basic statistics and data analysis skills.","You’ll start by building data visualizations and dashboards, considering your audiences to be as effective as possible. Then, you’ll move into drafting presentations using storytelling techniques, visualizations, and animations to provide data-driven recommendations. ","Marketing Analytics,Digital Marketing,",$399 ,,"$1,356 ",,,,Data Science,,,,,,,,,,,,,,,
254,Cloud Architect using Microsoft Azure,https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",,,,,," Cloud Cost Policies, Cloud Cost Evaluation, Cloud Cost Optimization, Azure Security Center, Azure Resource Manager, Azure Pricing Calculator, Azure Key Vault, Azure Defender, Privileged Identity Management, Identity and Access Management Fundamentals, Disaster Recovery Plans",,,,Estimated 3 months to complete,Udacity,Nanodegree Program,Cloud Architect using Microsoft Azure,,,,"Experience with cloud computing, programming and Microsoft Azure.","This program prepares students for a career as an Azure Solution Architect and trains them to translate business requirements into technical specifications for reliable, scalable and secure cloud infrastructure using Microsoft Azure.","Cloud DevOps using Microsoft Azure,Cloud Developer using Microsoft Azure,",$399 ,,,"$1,017 ",,,Cloud Computing,,,,,,,,,,,,,,,
255,Programming for Data Science with R,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git. ",,,,,," Git, SQL Queries, SQL JOINs, SQL Aggregations, SQL Window Functions, SQL Subqueries, Control Flow in R, R Syntax, R Function Definition, R Data Structures, Data Structures, UNIX Shell, IDEs",,4.8,,3 months to complete,Udacity,Nanodegree Program,Learn to Code with R and SQL,,95 viewers,,"There are no prerequisites for this program, aside from basic computer skills.","Learn the programming fundamentals required for a career in data science. By the end of the program, you will be able to use R, SQL, Command Line, and Git.","Programming for Data Science with Python,Cloud Developer,",$399 ,,,"$1,017 ",,,Data Science,,,,,,,,,,,,,,,
256,Cloud Computing for Business Leaders,https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046,"Gain the technical understanding to make tough, IT-driven decisions that unlock the value of cloud computing in your organization.",,,,,," Cloud ROI, Cloud Product Strategy, Cloud Solution Evaluation, Cloud Migration Strategy, Cloud Computing Fluency, Cloud Governance Strategy, Cloud Deployment Models, Cloud Cost Governance, Cloud Computing Business Context, Cloud Compliance, Cloud Security Strategy, Technology Gap Analysis, Organizational Skill Gap Analysis, Organizational Capability Building, Cloud Product Management, Cross-Functional Collaboration",,,,4 - 8 weeks to complete,Udacity,Executive Program,Cloud Computing for Business Leaders,,,,"Word Processors, Spreadsheets, Presentation Tools.","This program will focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations, or enable a more cloud-native department that leverages cloud computing to drive growth and create operational efficiencies.","AI for Business Leaders,Data Science for Business Leaders,",,,,,,$678 ,Cloud Computing,,,,,,,,,,,,,,,
257,Security Analyst,https://www.udacity.com/course/security-analyst-nanodegree--nd324,Meet the growing demand for cybersecurity professionals by gaining the skills to protect an organization’s computer networks and systems.,,,,,," Threat Modeling, Vulnerability Assessment, Security Risk Classification, Security Information and Event Management, Cybersecurity Controls, Security Assessment, Cybersecurity Fluency, Intrusion Detection Systems, Network Traffic Capture, DiD Framework, Cybersecurity Incident Response Playbooks, Cybersecurity Threat Triage, Penetration Testing, Splunk, Snort IDS, Technical Communication, Patch Management, Logging",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Security Analyst,,,,"Experience with Python, SQL, security fundamentals, database design, and networking and operating systems.","You’ll master the skills necessary to become a successful Security Analyst. Learn to identify, correct and respond to security weaknesses and incidents. Plus, get hands-on experience monitoring network traffic, analyzing alert and log data, and following incident handling procedures.","Introduction to Cybersecurity,Security Engineer,",$399 ,,"$1,356 ",,,,Programming & Development,,,,,,,,,,,,,,,
258,Data Privacy,https://www.udacity.com/course/data-privacy--cd1826,"Companies everywhere are under threat of data breaches and cyber attacks, so it’s imperative that they find talent with the proper mindset about the use and protection of customer and client personal data.",,,,,," Privacy Impact Assessments Data Privacy Fundamentals Data Privacy Classification, Data Privacy Governance, Data Privacy Checklists, Data Privacy Best Practices, Data Loss Prevention, Technical Cybersecurity Controls, Procedural Cybersecurity Controls, NIST Cybersecurity Framework, Data Privacy Regulations",,,,Estimated 1 month to complete,Udacity,Course,Data Privacy,,,,Understanding of data privacy regulations and cybersecurity best practices.,"Learners leave the course with a holistic view of data privacy issues in business, a data privacy checklist for use in future projects, and industry-guided best practices that can be implemented in physical or virtual office environments.",,$399 ,,,,,,Cybersecurity,,,,,,,,,,,,,,,
259,AI Engineer using Microsoft Azure,https://www.udacity.com/course/ai-engineer-using-microsoft-azure--nd073,"Meet the growing demand for Azure AI engineers and learn to design, build, and implement machine learning models, using Microsoft Azure.",,,,,," Azure Cognitive Services, Microsoft Bot Framework, Azure Cognitive Search, Azure Conversational AI Agents, Azure Cognitive Search Queries, Azure Cognitive Search Indexers, Azure Cognitive Search Data Import, Azure Form Recognizer, Application Monitoring with Azure, Object Detection, Image Classification, Form Recognition, Facial Recognition, Face Detection, Bounding Boxes, Architecture Diagramming, Requirements Gathering",,,,Estimated 3 months to complete,Udacity,Nanodegree Program,AI Engineer using Microsoft Azure,,,,"Python, Microsoft Azure, JSON and REST programming semantics.","You’ll master the skills necessary to implement machine learning models, design and build an end-to-end AI solution with Azure Cognitive Services, and deploy, monitor, and manage continuous improvement of an Azure AI solution. By the end of the program, you’ll be an ideal candidate for Microsoft certification A1-102.","Cloud Developer using Microsoft Azure,Machine Learning Engineer for Microsoft Azure,",$399 ,,,"$1,017 ",,,Artificial Intelligence,,,,,,,,,,,,,,,
260,Privacy Engineer,https://www.udacity.com/course/privacy-engineer-nanodegree--nd325,Master the job-ready skills you need to be a successful privacy engineer and start turning privacy requirements into technical realities.,,,,,," Data Privacy Fundamentals, Privacy Risk Assessment, Privacy by Design Framework, Data Minimization, Data Anonymization, Tiers of Deletion, Redaction for Data Minimization, Obfuscation for Data Minimization, k-anonymization, Data Privacy Principles, Data Privacy Classification, Data Encryption, Right to be Forgotten, Regional Privacy Regulations, Healthcare Privacy Regulations, Financial Privacy Regulations, Electronic Communications Regulations, Data Privacy Regulations, Child Privacy Regulations, Sensitive Data Tracking, Data Lifecycle Management, Hashing",,,,Estimated 2 months to complete,Udacity,Nanodegree Program,Privacy Engineer,,,,Experience with Python and SQL.,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.","Security Engineer,Data Architect,",$399 ,,,,,$678 ,Data Science,,,,,,,,,,,,,,,
261,Enterprise Security,https://www.udacity.com/course/enterprise-security-nanodegree--nd0035,Meet the growing demand for enterprise security engineers and learn the foundational skills of security engineering within an enterprise setting.,,,,,," Device Hardening Strategy, Cybersecurity Policy Writing, Server Hardening Strategy, Cybersecurity Compliance, Backup Strategy, Vulnerability Management, Security Information and Event Management, Security Auditing, Zero Trust Security Model, Data Encryption, Secure Network Architecture Design, API Security, Cloud Hardening Strategy, Container Vulnerability Management, IT Asset Management",,,,Estimated 4 months to complete,Udacity,Nanodegree Program,Enterprise Security,,,,Linux and Azure.,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by the company’s personnel on a daily basis.","Introduction to Cybersecurity,Security Engineer,",$399 ,,"$1,356 ",,,,Cybersecurity,,,,,,,,,,,,,,,
262,Statistics for Data Science,https://www.udacity.com/course/statistics-for-data-science--cd0005,Deepen your analytical skills with this beginner-friendly course in real-world statistics. This course will teach you the statistical concepts & techniques you need to conduct rigorous inferential analyses and draw accurate conclusions from data sets.,,,,,," Sample Testing, Conditional Probability, Standard Score, Probability Distribution, Normal Distribution, Basic Probability, Linear Regression, Logistic Regression, Data Limitations and Biases",,,,1 month to complete,Udacity,Course,Statistics for Data Science,,,,Python & SQL.,"A solid foundation in statistics is essential to making sense of data in any field, but most courses focus on theory, rather than modern use cases. This course is designed to cut through the noise and teach you the concepts and techniques you need to know to tackle common real-world challenges, such as analyzing AB tests and building regression models.",,$399 ,,,,,,Data Science,,,,,,,,,,,,,,,
263,Cybersecurity for Business Leaders,https://www.udacity.com/course/cybersecurity-for-business-leaders--nd1202,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,,,,,," Basic Cybersecurity Implementation, Threat Actors, Security Devices, Cybersecurity Risk Management, Cybersecurity Training Strategies, Social Engineering, Phishing",,,,1 month to complete,Udacity,Executive Program,Cybersecurity for Business Leaders,,,,None.,"Join other leaders around the world by mastering cybersecurity skills that will change the culture of your organization and strengthen your team. In this program, you’ll study cutting-edge topics such as common cyber challenges, detection and response, cybersecurity culture, investments, and threat analysis.","Introduction to Cybersecurity,AI for Business Leaders,",$399 ,,,,,,Cybersecurity,,,,,,,,,,,,,,,
264,Introduction to Python,https://www.udacity.com/course/introduction-to-python--cd0024,"Every programmer needs to know Python, including those looking to work in rapidly-growing fields such as machine learning and A.I. During this course, you’ll learn the fundamentals you need to take the next step in your career.",,,,,," NumPy, Pandas, Python Scripting, Python Methods, Python Function Definition, Built-In Python Functions, Python Syntax, Python Package Management, Python Operators, Python IDEs, Python Exception Handling, Python Data Types, Python Data Structures, Python Best Practices, List Comprehension, Anaconda, Control Flow, Variable Scope, User Input Handling, Iterators, Docstrings",,,,1 month,Udacity,Course,Introduction to Python,,,,No Experience Required.,"In this course, you’ll learn to represent and store data using Python data types and variables, and use conditionals and loops to control the flow of your programs. You’ll harness the power of complex data structures like lists, sets, dictionaries and tuples to store collections of related data. You’ll define and document your own custom functions, write scripts and handle errors. You will also learn to use two powerful Python libraries — Numpy, a scientific computing package, and Pandas, a data manipulation package.",,$399 ,,,,,,Programming & Development,,,,,,,,,,,,,,,
265,Unsupervised Machine Learning,https://www.udacity.com/course/unsupervised-learning--cd0026,"Learn how to distill messy data into meaningful groups with unsupervised machine learning! By the end of this course, you’ll know how to perform cluster analyses and dimensionality reduction using Python’s powerful machine-learning package, scikit-learn.",,,,,," Independent Component Analysis, Gaussian Mixture Models, Principal Component Analysis, Dimensionality Reduction, Single Linkage Clustering, K-Means Clustering, DBSCAN, Cluster Models, Market Segmentation",,,,1 month to complete,Udacity,Course ,Unsupervised Learning ,,,,"Intermediate Python, basic understanding of Machine Learning and Supervised Learning concepts.","Unsupervised learning gives you the power to find common patterns within data without knowing what to look for, and its application is virtually limitless — from market segmentation to computer vision to fraud detection. In this course, you’ll learn a multitude of techniques, including hierarchical and density-based clustering, gaussian mixture models, cluster validation, principal component analysis (PCA), and independent component analysis (ICA). In addition, you’ll apply what you’ve learned to identify customer segments within complex demographic data for a mail-order sales company.",,$399 ,,,,,,Artificial Intelligence,,,,,,,,,,,,,,,
266,Product Design ,https://www.udacity.com/course/product-design--cd0027,Learn the steps you need to turn an idea into reality. By the end of this course you’ll learn how to bring an idea from concept to hand off for development and onto creation of a prototype.,,,,,," Product Design Sprints, Product Prototyping, Solution Sketching, Product Storyboarding, Product Design Principles, Iterative Product Design, High Fidelity Prototypes, Crazy 8s, User Research Planning, User Interviews, How Might We Method, Affinity Mapping, Technical Feasibility Evaluation, Product Validation, Product Success Metrics, Product Management Basics, Product KPIs, Project Evaluation, Decision Matrix Method",,,,1 month to complete,Udacity,Course ,Product Design ,,,,No Experience Required. ,"Once a problem has been defined and a market opportunity has been identified, it is important to create a solution that is desirable by its users. In this course, you’ll learn how to take  an idea through concept, design and user validation, as well as create a spec to hand-off to engineering for development. You’ll use design thinking methodologies to diverge in order to explore ideas and then ultimately focus in and converge on a single idea. And you’ll map out the full concept through creation of a prototype that can be used to validate that you’re solving a problem for real users.
",,$399 ,,,,,,Product Management,,,,,,,,,,,,,,,
267,Zero Trust Security,https://www.udacity.com/course/zero-trust-security--cd11535,"Companies around the world are facing constant and evolving cyber attacks, so it’s imperative that they find talent with the dynamic skills to address these pressing issues. ",,,,,," Zero Trust Pillars, Zero Trust Security Model, Zero Trust Deployment Strategy, Zero, Trust Maturity Model, Zero Trust Algorithms, Cybersecurity Risk Management, Perimeter Security",,,,Estimated 1 month to complete,Udacity,Course,Zero Trust Security,,,,Familiarity with basic cybersecurity concepts and practices.,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,"Introduction to Cybersecurity,Security Engineer,",$399 ,,,,,,Cybersecurity,,,,,,,,,,,,,,,
